gene	A	B	C	D	E
Skcos10594	37	10	15	53	4
Skcos10595	3	0	5	12	1
Skcos10596	5	0	1	3	1
Skcos10597	17	7	10	11	21
Skcos10598	1	0	0	1	0
Skcos10599	0	0	0	0	1
Skcos106	5	1	0	8	5
Skcos1060	20	1	3	10	3
Skcos10600	14	23	28	18	38
Skcos10601	3	0	0	1	5
Skcos10602	77	27	28	69	73
Skcos10603	15	1	2	17	2
Skcos10604	10	6	3	20	3
Skcos10605	14	2	1	30	11
Skcos10606	26	5	13	104	5
Skcos10607	0	0	0	0	0
Skcos10608	0	0	1	0	6
Skcos10609	1	0	0	5	0
Skcos1061	165	112	151	117	170
Skcos10610	205	75	92	164	180
Skcos10611	4	0	0	2	0
Skcos10612	0	0	2	0	0
Skcos10613	3	1	1	3	0
Skcos10614	1	0	0	0	0
Skcos10615	0	0	0	0	0
Skcos10616	182	148	116	187	132
Skcos10617	2	0	0	5	1
Skcos10618	4	0	2	3	0
Skcos10619	5	0	0	2	0
Skcos1062	3	2	2	5	4
Skcos10620	23	5	9	29	5
Skcos10621	1	0	0	0	0
Skcos10622	31	11	7	64	15
Skcos10623	0	0	0	1	0
Skcos10624	6	1	3	3	2
Skcos10625	18	7	4	10	17
Skcos10626	30	8	9	80	20
Skcos10627	8	2	0	4	1
Skcos10628	32	4	14	56	9
Skcos10629	10	2	3	19	1
Skcos1063	0	0	0	0	0
Skcos10630	913	503	606	877	808
Skcos10631	0	0	0	1	0
Skcos10632	3	0	0	3	1
Skcos10633	6	2	0	5	1
Skcos10634	1	1	0	0	0
Skcos10635	280	236	230	497	382
Skcos10636	31	47	52	31	37
Skcos10637	0	0	0	0	0
Skcos10638	47	9	13	56	24
Skcos10639	19	6	6	35	17
Skcos1064	0	0	0	0	0
Skcos10640	5	0	0	0	0
Skcos10641	0	1	0	5	0
Skcos10642	14	7	5	22	14
Skcos10643	6	0	3	9	2
Skcos10644	72	25	22	169	41
Skcos10645	335	130	172	269	264
Skcos10646	0	0	0	0	0
Skcos10647	27	3	2	23	2
Skcos10648	7	1	2	1	2
Skcos10649	8	1	3	3	5
Skcos1065	1	0	0	1	0
Skcos10650	0	0	1	2	2
Skcos10651	16	1	4	43	0
Skcos10652	10	4	1	17	2
Skcos10653	23	4	9	30	8
Skcos10654	15	2	2	17	1
Skcos10655	12	0	2	10	1
Skcos10656	1	1	1	11	0
Skcos10657	20	5	8	18	8
Skcos10658	195	161	188	203	223
Skcos10659	77	6	9	49	20
Skcos1066	12	0	0	9	0
Skcos10660	164	24	24	123	23
Skcos10661	95	22	18	152	23
Skcos10662	27	4	4	30	5
Skcos10663	16	2	4	10	4
Skcos10664	1	1	0	0	0
Skcos10665	0	0	0	1	1
Skcos10666	69	10	6	39	7
