gene	S1	S2	S3	S4	S5	A	B	C	D	E
Skcos10333	39	155	1	0	1	0	0	1	1	0
Skcos10334	56	1017	6	12	12	46	2	1	50	4
Skcos10335	63	1326	37	17	19	7	5	3	2	3
Skcos10336	193	1221	47	23	8	7	3	3	16	3
Skcos10337	174	3272	212	89	25	41	20	32	115	33
Skcos10338	19	565	4	1	1	3	1	0	10	0
Skcos10339	231	2001	81	43	12	27	19	20	56	19
Skcos1034	56	318	62	19	6	130	67	73	180	108
Skcos10340	77	805	16	7	3	19	4	2	25	3
Skcos10341	144	867	42	14	7	10	3	3	24	4
Skcos10342	3288	74	1880	273	83	222	314	275	853	423
Skcos10343	2520	1114	493	34	45	175	83	91	163	133
Skcos10344	153	102	20	2	0	7	4	1	4	10
Skcos10345	1092	6737	368	78	35	74	49	57	121	58
Skcos10346	133	178	0	1	0	1	0	1	3	0
Skcos10347	4	53	0	8	5	13	0	0	7	0
Skcos10348	117	6874	188	27	53	332	36	62	197	41
Skcos10349	2	710	2	8	4	24	0	2	41	6
Skcos1035	1814	1312	134	82	38	107	11	17	83	13
Skcos10350	42	419	5	6	2	7	1	0	5	2
Skcos10351	48	1058	25	18	6	10	16	6	14	6
Skcos10352	12	183	2	1	1	2	0	0	2	0
Skcos10353	18	260	3	3	2	4	0	0	7	0
Skcos10354	31	802	15	18	5	15	0	1	32	5
Skcos10355	464	920	106	19	23	24	15	15	44	14
Skcos10356	180	1069	30	20	7	26	6	8	40	11
Skcos10357	35	155	2	9	5	10	0	0	4	0
Skcos10358	342	4335	52	51	39	53	8	12	43	12
Skcos10359	7	60	3	0	0	7	10	0	6	7
Skcos1036	17	170	4	6	7	1	2	0	5	0
Skcos10360	8	78	5	10	4	5	1	2	1	0
Skcos10361	217	475	96	9	3	8	9	9	32	15
Skcos10362	0	31	0	3	0	1	0	0	1	0
Skcos10363	60	394	4	5	0	5	1	1	8	4
Skcos10364	128	1055	49	16	9	12	8	11	14	6
Skcos10365	96	575	10	4	3	6	1	3	12	4
Skcos10366	122	715	5	6	3	10	1	2	23	0
Skcos10367	297	102	5	11	0	1	2	0	2	0
Skcos10368	7434	12059	840	227	74	67	75	94	122	124
Skcos10369	214	1661	61	18	20	25	17	16	39	9
Skcos1037	241	30	19	14	4	10	2	0	11	0
Skcos10370	3323	491	96	89	9	5	1	5	19	6
Skcos10371	21	1284	6	13	4	15	0	1	18	0
Skcos10372	11	71	5	0	0	2	1	1	4	1
Skcos10373	1755	1744	14	50	0	4	3	4	12	0
Skcos10374	44427	7606	7621	429	594	1651	974	1195	1526	1459
Skcos10375	193	807	27	7	8	21	3	5	24	6
Skcos10376	2	33	0	1	0	1	0	0	6	0
Skcos10377	47	119	1	4	2	2	0	0	4	0
Skcos10378	20	1569	8	32	4	20	6	8	23	9
Skcos10379	56	332	40	56	22	50	7	3	27	1
Skcos1038	36	89	14	3	4	9	2	5	13	0
Skcos10380	191	2406	40	37	16	8	0	6	7	1
Skcos10381	19	74	4	0	1	4	0	3	8	0
Skcos10382	15	319	5	9	0	9	1	2	8	2
Skcos10383	72	659	10	2	1	6	0	3	7	8
Skcos10384	140	464	7	0	2	4	0	4	8	1
Skcos10385	197	160	11	7	2	2	2	1	5	3
Skcos10386	702	538	218	17	10	95	12	12	60	10
Skcos10387	1090	1713	216	27	6	87	24	30	78	45
Skcos10388	195	1066	103	31	27	95	13	24	172	29
Skcos10389	212	178	32	1	4	10	3	2	8	6
Skcos1039	11787	2595	9669	1874	5515	4313	3009	3669	6761	3333
Skcos10390	37	1039	8	11	3	25	0	3	41	3
Skcos10391	115	512	8	5	4	10	2	0	6	3
Skcos10392	3883	1643	1857	40	129	419	212	350	494	405
Skcos10393	1212	3055	152	72	34	72	15	23	83	22
Skcos10394	532	9272	286	101	121	477	66	77	675	68
Skcos10395	47	3252	7	25	4	15	2	5	34	2
